地区,合计,家庭户,集体户,人口数,男,女,性别比,小计,男,女,性别比.1,小计,男,女,性别比.2,平均家庭
北京,7355291,6680552,674739,19612368,10126430,9485938,106.75,16389723,8173161,8216562,99.47,3222645,1953269,1269376,153.88,2.45
天津,3963604,3661992,301612,12938693,6907091,6031602,114.52,10262186,5129604,5132582,99.94,2676507,1777487,899020,197.71,2.8
河北,20813492,20395116,418376,71854210,36430286,35423924,102.84,68538709,34552649,33986060,101.67,3315501,1877637,1437864,130.59,3.36
山西,10654162,10330207,323955,35712101,18338760,17373341,105.56,33484131,16988087,16496044,102.98,2227970,1350673,877297,153.96,3.24
内蒙古,8470472,8205498,264974,24706291,12838243,11868048,108.17,23071690,11725291,11346399,103.34,1634601,1112952,521649,213.35,2.81
辽宁,15334912,14994046,340866,43746323,22147745,21598578,102.54,41755874,20956756,20799118,100.76,1990449,1190989,799460,148.97,2.78
吉林,9162183,8998492,163691,27452815,13907218,13545597,102.67,26457769,13358390,13099379,101.98,995046,548828,446218,123,2.94
黑龙江,13192935,13000088,192847,38313991,19426106,18887885,102.85,36884039,18603181,18280858,101.76,1429952,822925,607027,135.57,2.84
上海,8893483,8253257,640226,23019196,11854916,11164280,106.19,20593430,10318168,10275262,100.42,2425766,1536748,889018,172.86,2.5
江苏,25635291,24381782,1253509,78660941,39626707,39034234,101.52,71685839,35542124,36143715,98.34,6975102,4084583,2890519,141.31,2.94
浙江,20060115,18854021,1206094,54426891,27965641,26461250,105.69,49425543,25037320,24388223,102.66,5001348,2928321,2073027,141.26,2.62
安徽,19322432,18861956,460476,59500468,30245513,29254955,103.39,56493891,28462853,28031038,101.54,3006577,1782660,1223917,145.65,3
福建,11971873,11206317,765556,36894217,18981054,17913163,105.96,33397663,16901083,16496580,102.45,3496554,2079971,1416583,146.83,2.98
江西,11847841,11542527,305314,44567797,23003521,21564276,106.67,42181417,21600070,20581347,104.95,2386380,1403451,982929,142.78,3.65
山东,30794664,30105454,689210,95792719,48446944,47345775,102.33,89855501,45023357,44832144,100.43,5937218,3423587,2513631,136.2,2.98
河南,26404973,25928729,476244,94029939,47493063,46536876,102.05,90028072,45262137,44765935,101.11,4001867,2230926,1770941,125.97,3.47
湖北,17253385,16695121,558264,57237727,29391247,27846480,105.55,52745625,26826301,25919324,103.5,4492102,2564946,1927156,133.09,3.16
湖南,19029894,18625710,404184,65700762,33776459,31924303,105.8,61911446,31611459,30299987,104.33,3789316,2165000,1624316,133.29,3.32
广东,32222752,28630609,3592143,104320459,54400538,49919921,108.98,88979305,45465958,43513347,104.49,15341154,8934580,6406574,139.46,3.11
广西,13467663,13151404,316259,46023761,23924704,22099057,108.26,43970320,22733969,21236351,107.05,2053441,1190735,862706,138.02,3.34
海南,2451819,2331149,120670,8671485,4592283,4079202,112.58,8060519,4231490,3829029,110.51,610966,360793,250173,144.22,3.46
重庆,10272559,10000965,271594,28846170,14608870,14237300,102.61,26994017,13542424,13451593,100.68,1852153,1066446,785707,135.73,2.7
四川,26383458,25794161,589297,80417528,40827834,39589694,103.13,76207174,38380622,37826552,101.46,4210354,2447212,1763142,138.8,2.95
贵州,10745630,10558461,187169,34748556,17905471,16843085,106.31,33571308,17153547,16417761,104.48,1177248,751924,425324,176.79,3.18
云南,12695396,12339961,355435,45966766,23856696,22110070,107.9,43626674,22391253,21235421,105.44,2340092,1465443,874649,167.55,3.54
西藏,689521,670838,18683,3002165,1542652,1459513,105.7,2837769,1429541,1408228,101.51,164396,113111,51285,220.55,4.23
陕西,11084516,10718563,365953,37327379,19287575,18039804,106.92,34462115,17556257,16905858,103.85,2865264,1731318,1133946,152.68,3.22
甘肃,7113833,6900369,213464,25575263,13064193,12511070,104.42,24052594,12141360,11911234,101.93,1522669,922833,599836,153.85,3.49
青海,1586635,1529039,57596,5626723,2913793,2712930,107.4,5284525,2675766,2608759,102.57,342198,238027,104171,228.5,3.46
宁夏,1945064,1882205,62859,6301350,3227404,3073946,104.99,5970133,3015722,2954411,102.08,331217,211682,119535,177.09,3.17
新疆,6902850,6705607,197243,21815815,11270147,10545668,106.87,20802249,10620499,10181750,104.31,1013566,649648,363918,178.51,3.1
